0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
900,suspected,pedophiles,arrested,as,darknet,child,porn,kingpin,jailed,for,30yrs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,taliban,militants,killed,in,explosion,during,bombmaking,class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,harvesting,organs,of,uighur,muslims,the,china,tribunal,tells,un,they,were,cut,open,while,still,alive,for,their,kidneys,livers,hearts,lungs,cornea,and,skin,to,be,removed,and,turned,into,commodities,for,sale,the,report,said,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,eighth,amendment,which,effectively,banned,abortion,in,the,republic,of,ireland,has,been,formally,repealed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
india,has,planted,nearly,66,million,trees,in,12,hours,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
protestors,rally,outside,blizzcon,2019,with,winnie,the,pooh,costumes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russian,official,demands,putin,end,war,gets,escorted,out,of,meeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palestinian,head,of,internal,medicine,of,main,hospital,dr,ayman,abu,alouf,killed,along,with,12,members,of,his,extended,family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north,korea,frees,us,detainees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
james,murdoch,says,he,quit,fathers,news,empire,because,it,legitimises,disinformation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canada,to,ban,foreigners,from,buying,homes,as,prices,soar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scotland,to,be,first,country,to,have,universal,free,period,products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spain,makes,it,a,crime,for,prolifers,to,harrass,women,outside,abortion,clinics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster,is,unfolding,in,syria,as,videos,emerge,of,us,allies,being,slaughtered,and,hundreds,of,isis,prisoners,escape,during,airstrikes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us,prosecutors,invite,prince,andrew,to,talk,to,us,after,arrest,of,ghislaine,maxwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prince,charles,spent,75,minutes,longer,than,scheduled,trying,to,convince,donald,trump,of,the,dangers,of,climate,change,but,the,president,still,insisted,the,us,was,clean,and,blamed,other,nations,for,the,crisis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hong,kong,protesters,burn,lebron,james,jerseys,after,china,comments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
australian,supermarket,woolworths,will,open,its,doors,exclusively,to,the,elderly,and,people,with,disabilities,for,a,dedicated,shopping,hour,after,panic,buying,due,to,the,coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russia,thinks,west,will,get,over,ukraine,war,calls,response,hysteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
macron,calls,biden,victory,a,chance,to,make,our,planet,great,again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,zealand,has,no,covid19,patients,in,hospital,and,only,21,active,cases,remain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syria,is,signing,the,paris,climate,agreement,leaving,the,us,alone,against,the,rest,of,the,world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nato,parliamentary,assembly,declares,russia,to,be,a,terrorist,state,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doctor,who,warned,prime,minister,boris,johnson,about,ppe,dies,with,covid19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,declares,china,in,breach,of,1984,hong,kong,declaration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
former,french,president,nicolas,sarkozy,has,proposed,that,europe,should,impose,a,carbon,tax,on,american,imports,if,donald,trump,pulls,the,united,states,out,of,the,paris,climate,pact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,united,nations,high,commissioner,for,human,rights,on,thursday,condemned,the,string,of,police,killings,of,unarmed,african,americans,and,called,for,us,officers,who,use,excessive,force,to,be,charged,and,convicted,for,their,crimes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
president,trump,is,apparently,not,a,fan,of,best,picture,oscar,winner,parasite,mainly,complaining,that,the,movie,was,made,in,south,korea,parasites,us,distributor,shot,back,on,twitter,suggesting,trump,would,have,trouble,reading,the,subtitles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
france,to,make,vaccination,mandatory,from,2018,as,it,is,unacceptable,children,are,still,dying,of,measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pandora,will,no,longer,sell,mined,diamonds,and,will,switch,to,exclusively,laboratorymade,diamonds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trudeau,says,shocking,riot,in,washington,was,incited,by,trump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bill,gates,funding,the,construction,of,factories,for,7,different,vaccines,to,fight,coronavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,suddenly,takes,bbc,news,off,air,after,muslim,detention,camps,mentioned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nearly,500,million,animals,killed,in,australian,bushfires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmed,coronavirus,cases,are,growing,faster,in,the,united,states,than,any,other,country,in,the,world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blizzard,bans,3,more,hearthstone,players,for,holding,up,prohong,kong,protest,signs,during,a,livestream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
venezuela,president,maduro,breaks,relations,with,us,gives,american,diplomats,72,hours,to,leave,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russian,warship,that,attacked,snake,island,has,been,destroyed,report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manchester,bomber,was,banned,from,his,local,mosque,and,reported,to,the,authorities,at,least,5,times,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,saved,his,a,trump,boasted,to,woodward,that,he,protected,saudi,crown,prince,mohammed,bin,salman,after,jamal,khashoggis,brutal,murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
news,that,the,worlds,first,commercial,octopus,farm,is,closer,to,becoming,reality,has,been,met,with,dismay,by,scientists,and,conservationists,they,argue,such,intelligent,sentient,creatures,considered,able,to,feel,pain,and,emotions,should,never,be,commercially,reared,for,food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russia,bans,963,americans,including,biden,and,harris,but,not,trump,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david,dushman,last,surviving,auschwitz,liberator,dies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canada,house,passes,bill,to,federally,legalize,recreational,marijuana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saudi,arabia,king,salman,orders,driving,licenses,for,women,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facebook,bans,holocaust,denial,amid,rise,in,antisemitism,and,alarming,level,of,ignorance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jared,kushner,greenlit,arrest,of,jamal,khashoggi,in,phone,call,with,saudi,prince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elephant,poachers,shot,dead,by,rangers,at,wildlife,reserve,in,kenya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
only,9,of,britons,want,life,to,return,to,normal,once,lockdown,is,over,people,have,noticed,significant,changes,during,the,lockdown,including,cleaner,air,more,wildlife,and,stronger,communities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
german,nurse,swaps,vaccine,for,saline,9000,people,need,new,shots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antivax,movement,blamed,for,30,per,cent,jump,in,measles,cases,worldwide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,archaeological,find,proves,that,vikings,were,in,north,america,by,1021,ce,roughly,500,years,before,christopher,columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300m,puerto,rico,recovery,contract,awarded,to,tiny,utility,company,linked,to,major,trump,donor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coronavirus,boris,johnson,says,easing,lockdown,would,throw,away,effort,and,sacrifice,of,british,people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
germany,has,told,china,to,stop,threatening,europe,as,merkel,hardens,her,stance,towards,beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spacex,shoots,nasa,astronauts,into,space,in,historic,mission,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,james,webb,space,telescope,has,successfully,launched,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
queen,refuses,to,pay,prince,andrews,sex,abuse,case,legal,fees,forces,him,to,quickly,sell,chalet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocacola,will,not,ditch,singleuse,plastic,bottles,because,consumers,still,want,them,firms,head,of,sustainability,told,bbc,the,giant,produces,plastic,packaging,equivalent,to,200000,bottles,a,minute,in,2019,it,was,found,to,be,most,polluting,brand,of,plastic,waste,by,break,free,from,plastic,0,0,0,0,0,0,0,0,0,0,0,0
amnesty,international,us,police,must,end,militarized,response,to,protests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kim,jongun,crosses,into,south,korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
university,of,edinburgh,scientists,successfully,test,drug,which,can,kill,cancer,without,damaging,nearby,healthy,tissue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
david,attenborough,calls,for,global,500,billion,a,year,investment,in,nature,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
norway,decides,to,drop,russia,from,13,trillion,wealth,fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ukrainian,troops,defending,chernihiv,region,blew,up,56,tanks,of,diesel,fuel,that,were,being,transported,by,a,russian,military,convoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amazon,warehouse,workers,around,the,world,are,striking,for,prime,day,thousands,of,workers,at,amazon,fulfillment,centers,and,warehouses,around,the,globe,are,going,on,strike,today,to,bring,attention,to,the,working,conditions,they,endure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,antiputin,blogger,was,murdered,in,a,french,hotel,and,the,killing,has,the,hallmarks,of,the,russian,hit,squad,causing,chaos,in,europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwiches,in,subway,too,sugary,to,meet,legal,definition,of,being,bread,rules,irish,supreme,court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joe,biden,to,donate,75,of,unused,covid,vaccines,to,unbacked,global,vaccine,program,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
antivax,movement,listed,by,world,health,organization,as,one,of,the,top,10,health,threats,for,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trump,says,he,feels,unwelcome,in,london,due,to,protests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vladimir,putin,just,officially,banned,samesex,marriage,in,russia,and,those,who,identify,as,trans,are,not,able,to,adopt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaked,emails,for,mark,zuckerberg,show,facebook,struck,secret,deals,over,user,data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he,is,a,terrorist,he,is,a,criminal,he,is,an,extremist,but,he,will,when,i,speak,be,nameless,jacinda,arderns,extraordinary,speech,to,parliament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,who,accused,indian,politician,of,rape,hit,by,truck,after,father,dies,in,police,station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mars,rover,opportunity,is,dead,after,recordbreaking,15,years,on,red,planet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
its,official,solar,is,the,cheapest,electricity,in,history,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what,are,you,so,afraid,of,abc,correspondent,challenges,putin,on,why,his,opponents,end,up,dead,or,in,jail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south,korean,president,suggests,ban,on,eating,dog,meat,moon,jaein,a,doglover,says,time,has,come,for,traditional,practice,to,end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rhino,poacher,trampled,by,an,elephant,and,then,eaten,by,lions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
assassins,killed,panama,papers,journalist,with,text,message,bomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shinzo,abe,former,japanese,prime,minister,dies,after,being,shot,while,giving,speech,state,broadcaster,says,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
major,prison,strike,spreads,across,us,and,canada,as,inmates,refuse,food,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koalas,functionally,extinct,after,australia,bushfires,destroy,80,of,their,habitat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iran,says,it,unintentionally,shot,down,ukrainian,jetliner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greta,thunberg,warns,world,leaders,that,we,will,not,let,you,get,away,with,this,addressing,the,un,climate,summit,in,nyc,she,said,this,is,all,wrong,i,shouldnt,be,up,here,i,should,be,back,in,school,on,the,other,side,of,the,ocean,yet,you,all,come,to,us,young,people,for,hope,how,dare,you
donald,trump,tells,theresa,may,he,wont,visit,the,uk,unless,she,bans,protests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rightwing,trumpist,news,site,busted,as,putin,troll,farm,operation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north,korea,accepts,offer,from,south,to,meet,for,peace,talks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,million,sign,petition,urging,all,nations,to,ban,nuclear,weapons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us,admits,that,congressman,offered,pardon,to,assange,if,he,covered,up,russia,links,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uk,liz,truss,to,resign,as,prime,minister,sky,news,understands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,furious,hong,kong,celebrates,after,us,move,on,bills,also,theyre,calling,it,a,thanksgiving,day,rally,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
israeli,jewish,antifa,hacks,kkk,website,doxxes,members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
time,has,come,for,fourday,week,say,european,politicians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,logic,world,reacts,to,trumps,decision,to,cut,ties,with,world,health,organisation,given,the,scale,of,the,outbreak,in,the,us,this,appears,nothing,short,of,an,attempt,to,refocus,attention,away,from,how,this,has,been,handled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canada,considering,proposal,to,void,patents,of,major,us,pharmaceutical,companies,in,midst,of,trade,disputes,the,plan,would,target,valuable,us,patents,granting,canadas,generic,pharmaceutical,firms,the,right,to,copy,sell,and,potentially,export,american,drugs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barbados,to,remove,queen,elizabeth,ii,as,head,of,state,and,declare,republic,the,time,has,come,to,fully,leave,our,colonial,past,behind,says,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
schwarzenegger,planning,to,sue,oil,companies,for,knowingly,killing,people,all,over,the,world,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pope,francis,calls,trumps,family,separation,border,policy,cruelty,of,the,highest,form,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oxygen,supply,just,failed,in,part,of,the,iss,but,everyone,is,safe,so,far,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
americans,go,home,canadians,track,us,boaters,sneaking,across,the,border,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vladimir,putin,faces,mass,russia,protest,as,alexei,navalny,disappears,in,prison,system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rushed,amazon,warehouse,staff,reportedly,pee,into,bottles,as,theyre,afraid,of,timewasting,because,the,toilets,are,far,away,and,they,fear,getting,into,trouble,for,taking,long,breaks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
